#;PASO;Diámetro Hueco (in);OPERACIÓN;TIEMPO PLANEADO (hr);TIEMPO EJECUTADO (hr);GAP (hr)
135;INFT31;8.50;Sacar dentro del casing y chequear flujo durante 30 min. Asegurar pozo estable (integridad en el zapato).;0.50;0.50;0.00
136;DRIL32;8.50;"Perforar fase 8 1/2"" desde el Tope de Unidad T2 hasta tope de K1 Superior según plan direccional.";2.00;2.00;0.00
137;DRIL33;8.50;"Perforar fase 8 1/2"" hasta Tope K1 Inferior según plan direccional";7.00;4.50;-2.50
138;DRIL34;8.50;"Perforar  fase 8 1/2"" desde tope K1 Inferior  hasta tope de Masivo K2 según plan direccional";6.50;6.00;-0.50
139;DRIL35;8.50;"Perforar  fase 8 1/2"" desde tope de la Unidad K2 hasta TD según plan direccional";22.00;20.50;-1.50
140;CRBHA31;8.50;Bombear píldoras de limpieza de acuerdo con el programa de fluidos.;2.00;1.50;-0.50
141;SHTRI31;8.50;"Realizar viaje corto de calibración hasta el zapato de 9 5/8""";2.00;;
142;CRBHA32;8.50;"Circular en el zapato de 9 5/8""";0.50;;
143;SHTRI32;8.50;Bajar libre y lavando las tres ultimas paradas hasta profundidad perforada por seguridad. (HUECO ABIERTO);2.00;3.50;1.50
144;CRBHA33;8.50;Bombear píldoras de limpieza de acuerdo al programa de fluidos.;2.00;1.50;-0.50
145;POOH31;8.50;"Sacar tubería hasta el zapato de 9 5/8"" (HUECO ABIERTO)";1.50;1.50;0.00
146;CRBHA34;8.50;"Circular en el zapato de 9 5/8""";1.00;;
147;POCH31;8.50;Continuar sacando tubería combinada y  BHA hasta superficie. (HUECO REVESTIDO);7.00;7.00;0.00
148;SAFE32;8.50;Realizar reunion preoperacional para quiebre de BHA direccional;0.50;0.50;0.00
149;RDDT31;8.50;Quebrar herramientas direccionales.;4.00;3.00;-1.00
150;RUEQR31;8.50;"Acondicionar mesa para operación de corrida de liner 7""";1.00;0.50;-0.50
151;SAFE33;8.50;Realizar reunión preoperacional para arme de herramientas de manejo de Liner 7''.;0.50;0.50;0.00
152;RUCST31;8.50;"Armar herramientas de manejo para corrida del Liner 7""";1.00;1.00;0.00
153;SAFE34;8.50;Realizar reunión preoperacional para correr Liner 7''.;0.50;0.50;0.00
154;RICHL31;8.50;"Bajar liner 7"", llenando y probando circulación cada 10 juntas.";2.00;2.50;0.50
155;SAFE35;8.50;Realizar reunión preoperacional y de seguridad para conectar liner hanger Hi torque;0.50;0.50;0.00
156;RULNR31;8.50;Levantar y conectar Liner Hanger Assembly - Setting Tool.;1.00;1.00;0.00
157;RDCST31;8.50;"Rig Down herramientas de manejo para corrida de Liner 7"".";1.00;0.50;-0.50
158;RICHL32;8.50;"Continuar bajando liner 7"" con DP hasta zapato 9 5/8"".";9.00;5.50;-3.50
159;CIRCS31;8.50;"Circular un fondo arriba en el zapato 7""";1.00;1.00;0.00
160;RIOHL31;8.50;"BAJAR LINER 7"" (HUECO ABIERTO)";4.00;1.50;-2.50
161;CIRCS32;8.50;Circular fondos hasta retornos limpios y presión estable acorde a la simulación enviada previo a la corrida.;2.00;1.50;-0.50
162;SAFE36;8.50;Realizó reunión preoperacional para conectar cabeza de cementación;0.50;0.50;0.00
163;RUCEM31;8.50;Levantar y conectar cabeza de cementación;0.50;1.00;0.50
164;CIRCS33;8.50;Continuar circulando Liner;0.50;;
165;SAFE37;8.50;Realizar reunión preoperacional para cementar y asentar el colgador.;0.50;0.50;0.00
166;RUCEM32;8.50;Instalar líneas de cementación y probar con 500, 3500 y 9000 psi;0.50;1.50;1.00
167;CIRCS34;8.50;Circular pozo mientras realiza premezcla de lechada;0.50;;
168;CEM31;8.50;Cementar liner 7'', según programa;2.00;1.50;-0.50
169;SETLN31;8.50;Realizar colgamiento del liner y expansión del top packer  según procedimiento de compañía aliada.;0.50;1.00;0.50
170;RDCEM31;8.50;Desconectar líneas de cementación y antitorque del cabezal rotativo.  Levantar sarta para observar liberación del setting tool. Circular pozo para lavar el tope del colgador. Bombear y circular píldora abrasiva;2.00;;
171;RDCEM32;8.50;Rig Down líneas y cabeza de cementación;0.50;0.50;0.00
172;DESPL32;8.50;Desplazar lodo por agua aditivada;1.00;1.00;0.00
173;CSTST32;8.50;Probar integridad del Top packer con 1000 psi por 30 min;1.00;0.50;-0.50
174;INFT32;8.50;Realizar check flow por 30 min;0.50;;
175;POOWS31;8.50;Sacar setting tool a superficie;12.00;4.50;-7.50
176;RS31;8.50;Tiempo de Rig Service;3.00;0.50;-2.50
177;SIMUL31;8.50;Tiempo de Simulacros ó paradas de seguridad;2.00;;
